CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
KMART CORPORATION             ,GARDEN STATE GROWERS          ,20050425            ,20050425            ,'770117935                    ,00032251.4

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03202          ,0000642.66,0000000000,000000000642.66,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03202          ,00001037.9,0000000000,0000000001037.9,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03350          ,0000253.93,0000000000,000000000253.93,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03350          ,0000203.56,0000000000,000000000203.56,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03350          ,0000536.01,0000000000,000000000536.01,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03361          ,00000048.5,0000000000,0000000000048.5,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03361          ,0000075.33,0000000000,000000000075.33,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03361          ,0000224.32,0000000000,000000000224.32,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03394          ,00000054.2,0000000000,0000000000054.2,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03394          ,0000051.44,0000000000,000000000051.44,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03394          ,0000246.06,0000000000,000000000246.06,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050421         ,                    ,                         ,03414          ,00000006.5,0000000000,0000000000006.5,                         ,                         ,,20050414                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03414          ,0000344.41,0000000000,000000000344.41,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050421         ,                    ,                         ,03414          ,00000009.1,0000000000,0000000000009.1,                         ,                         ,,20050415                      ,0000000000,'043                
