CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
SEARS HOLDINGS MANAGEMENT CORP,YOUNGS FARMS                  ,20101105            ,20101105            ,'771569636                    ,0016109.31

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03143          ,00000036.6,0000000000,0000000000036.6,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03143          ,0000000032,0000000000,000000000000032,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03143          ,00000043.5,0000000000,0000000000043.5,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03194          ,00000002.7,0000000000,0000000000002.7,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03194          ,00000010.5,0000000000,0000000000010.5,                         ,                         ,,20101008                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03194          ,00000002.7,0000000000,0000000000002.7,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03194          ,00000002.7,0000000000,0000000000002.7,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03194          ,00000010.8,0000000000,0000000000010.8,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03194          ,0000009.45,0000000000,000000000009.45,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03230          ,00000011.4,0000000000,0000000000011.4,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03230          ,00000012.3,0000000000,0000000000012.3,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03230          ,0000000006,0000000000,000000000000006,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03230          ,0000007.75,0000000000,000000000007.75,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03230          ,00000004.2,0000000000,0000000000004.2,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03230          ,00000001.5,0000000000,0000000000001.5,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03230          ,00000001.5,0000000000,0000000000001.5,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03253          ,0000014.64,0000000000,000000000014.64,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03253          ,0000008.72,0000000000,000000000008.72,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03253          ,0000035.13,0000000000,000000000035.13,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03253          ,00000018.9,0000000000,0000000000018.9,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03253          ,0000032.85,0000000000,000000000032.85,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03253          ,0000004.05,0000000000,000000000004.05,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03253          ,0000032.68,0000000000,000000000032.68,                         ,                         ,,20101013                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03289          ,0000000.39,0000000000,000000000000.39,                         ,                         ,,20101010                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03359          ,00000008.1,0000000000,0000000000008.1,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03359          ,0000006.75,0000000000,000000000006.75,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03359          ,0000013.45,0000000000,000000000013.45,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03359          ,00000002.7,0000000000,0000000000002.7,                         ,                         ,,20101010                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03359          ,00000016.2,0000000000,0000000000016.2,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03359          ,00000020.4,0000000000,0000000000020.4,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03428          ,00000032.4,0000000000,0000000000032.4,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03428          ,0000039.15,0000000000,000000000039.15,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03428          ,0000020.25,0000000000,000000000020.25,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03428          ,0000009.45,0000000000,000000000009.45,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03428          ,0000038.11,0000000000,000000000038.11,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03428          ,00000010.8,0000000000,0000000000010.8,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03428          ,00000024.3,0000000000,0000000000024.3,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03632          ,0000000027,0000000000,000000000000027,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03632          ,00000032.4,0000000000,0000000000032.4,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03632          ,0000031.05,0000000000,000000000031.05,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03632          ,0000041.85,0000000000,000000000041.85,                         ,                         ,,20101010                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03632          ,0000020.25,0000000000,000000000020.25,                         ,                         ,,20101013                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03644          ,0000022.25,0000000000,000000000022.25,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03644          ,00000013.5,0000000000,0000000000013.5,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03644          ,00000013.5,0000000000,0000000000013.5,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03644          ,00000016.2,0000000000,0000000000016.2,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03644          ,00000008.1,0000000000,0000000000008.1,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03646          ,0000085.02,0000000000,000000000085.02,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03646          ,00000082.2,0000000000,0000000000082.2,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03646          ,0000143.31,0000000000,000000000143.31,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03646          ,0000051.55,0000000000,000000000051.55,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03646          ,00000021.9,0000000000,0000000000021.9,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03646          ,0000035.93,0000000000,000000000035.93,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03646          ,0000036.45,0000000000,000000000036.45,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03661          ,0000000009,0000000000,000000000000009,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03661          ,00000003.7,0000000000,0000000000003.7,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03661          ,00000005.4,0000000000,0000000000005.4,                         ,                         ,,20101009                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03661          ,0000001.35,0000000000,000000000001.35,                         ,                         ,,20101013                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03672          ,00000010.2,0000000000,0000000000010.2,                         ,                         ,,20101008                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03672          ,0000010.75,0000000000,000000000010.75,                         ,                         ,,20101010                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03672          ,0000001.35,0000000000,000000000001.35,                         ,                         ,,20101012                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03688          ,0000022.75,0000000000,000000000022.75,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03688          ,00000019.5,0000000000,0000000000019.5,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03688          ,00000014.1,0000000000,0000000000014.1,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03688          ,0000000003,0000000000,000000000000003,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03688          ,00000004.2,0000000000,0000000000004.2,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03688          ,0000013.65,0000000000,000000000013.65,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03688          ,0000029.15,0000000000,000000000029.15,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03703          ,00000043.2,0000000000,0000000000043.2,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03703          ,0000150.45,0000000000,000000000150.45,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03703          ,00000143.3,0000000000,0000000000143.3,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03703          ,0000071.15,0000000000,000000000071.15,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03703          ,0000061.05,0000000000,000000000061.05,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03703          ,00000016.2,0000000000,0000000000016.2,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03703          ,0000051.05,0000000000,000000000051.05,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03713          ,00000017.4,0000000000,0000000000017.4,                         ,                         ,,20101007                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03713          ,0000049.75,0000000000,000000000049.75,                         ,                         ,,20101009                      ,0000000000,'043                
