CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
SEARS HOLDINGS MANAGEMENT CORP,PINEAE GREENHOUSES INC        ,20140508            ,20140508            ,'772637775                    ,0006040.12

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20140424                      ,'                             ,'0020140425         ,                    ,                         ,04736          ,0000012.66,0000000000,000000000012.66,                         ,                         ,,20140424                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,04736          ,0000135.48,0000000000,000000000135.48,                         ,                         ,,20140425                      ,0000000000,'043                
20140426                      ,'                             ,'0020140427         ,                    ,                         ,04736          ,0000118.96,0000000000,000000000118.96,                         ,                         ,,20140426                      ,0000000000,'043                
20140420                      ,'                             ,'0020140421         ,                    ,                         ,04837          ,00000019.8,0000000000,0000000000019.8,                         ,                         ,,20140420                      ,0000000000,'043                
20140422                      ,'                             ,'0020140423         ,                    ,                         ,04837          ,0000021.81,0000000000,000000000021.81,                         ,                         ,,20140422                      ,0000000000,'043                
20140423                      ,'                             ,'0020140424         ,                    ,                         ,04837          ,0000037.29,0000000000,000000000037.29,                         ,                         ,,20140423                      ,0000000000,'043                
20140424                      ,'                             ,'0020140425         ,                    ,                         ,04837          ,0000032.72,0000000000,000000000032.72,                         ,                         ,,20140424                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,04837          ,0000104.62,0000000000,000000000104.62,                         ,                         ,,20140425                      ,0000000000,'043                
20140426                      ,'                             ,'0020140427         ,                    ,                         ,04837          ,00000100.8,0000000000,0000000000100.8,                         ,                         ,,20140426                      ,0000000000,'043                
20140420                      ,'                             ,'0020140421         ,                    ,                         ,04863          ,0000015.68,0000000000,000000000015.68,                         ,                         ,,20140420                      ,0000000000,'043                
20140421                      ,'                             ,'0020140422         ,                    ,                         ,04863          ,0000067.71,0000000000,000000000067.71,                         ,                         ,,20140421                      ,0000000000,'043                
20140422                      ,'                             ,'0020140423         ,                    ,                         ,04863          ,0000020.52,0000000000,000000000020.52,                         ,                         ,,20140422                      ,0000000000,'043                
20140423                      ,'                             ,'0020140424         ,                    ,                         ,04863          ,0000032.64,0000000000,000000000032.64,                         ,                         ,,20140423                      ,0000000000,'043                
20140424                      ,'                             ,'0020140425         ,                    ,                         ,04863          ,0000094.32,0000000000,000000000094.32,                         ,                         ,,20140424                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,04863          ,0000051.58,0000000000,000000000051.58,                         ,                         ,,20140425                      ,0000000000,'043                
20140426                      ,'                             ,'0020140427         ,                    ,                         ,04863          ,0000033.93,0000000000,000000000033.93,                         ,                         ,,20140426                      ,0000000000,'043                
20140421                      ,'                             ,'0020140422         ,                    ,                         ,07107          ,0000004.12,0000000000,000000000004.12,                         ,                         ,,20140421                      ,0000000000,'043                
20140426                      ,'                             ,'0020140427         ,                    ,                         ,07107          ,0000066.94,0000000000,000000000066.94,                         ,                         ,,20140426                      ,0000000000,'043                
20140420                      ,'                             ,'0020140421         ,                    ,                         ,07412          ,0000054.37,0000000000,000000000054.37,                         ,                         ,,20140420                      ,0000000000,'043                
20140421                      ,'                             ,'0020140422         ,                    ,                         ,07412          ,0000063.73,0000000000,000000000063.73,                         ,                         ,,20140421                      ,0000000000,'043                
20140422                      ,'                             ,'0020140423         ,                    ,                         ,07412          ,0000028.52,0000000000,000000000028.52,                         ,                         ,,20140422                      ,0000000000,'043                
20140423                      ,'                             ,'0020140424         ,                    ,                         ,07412          ,0000002.24,0000000000,000000000002.24,                         ,                         ,,20140423                      ,0000000000,'043                
20140424                      ,'                             ,'0020140425         ,                    ,                         ,07412          ,0000019.85,0000000000,000000000019.85,                         ,                         ,,20140424                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,07412          ,0000019.45,0000000000,000000000019.45,                         ,                         ,,20140425                      ,0000000000,'043                
20140426                      ,'                             ,'0020140427         ,                    ,                         ,07412          ,0000008.25,0000000000,000000000008.25,                         ,                         ,,20140426                      ,0000000000,'043                
20140421                      ,'                             ,'0020140422         ,                    ,                         ,07423          ,0000024.96,0000000000,000000000024.96,                         ,                         ,,20140421                      ,0000000000,'043                
20140422                      ,'                             ,'0020140423         ,                    ,                         ,07423          ,0000021.53,0000000000,000000000021.53,                         ,                         ,,20140422                      ,0000000000,'043                
20140423                      ,'                             ,'0020140424         ,                    ,                         ,07423          ,0000008.88,0000000000,000000000008.88,                         ,                         ,,20140423                      ,0000000000,'043                
20140424                      ,'                             ,'0020140425         ,                    ,                         ,07423          ,0000107.95,0000000000,000000000107.95,                         ,                         ,,20140424                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,07423          ,0000066.44,0000000000,000000000066.44,                         ,                         ,,20140425                      ,0000000000,'043                
20140420                      ,'                             ,'0020140421         ,                    ,                         ,07425          ,0000029.67,0000000000,000000000029.67,                         ,                         ,,20140420                      ,0000000000,'043                
20140421                      ,'                             ,'0020140422         ,                    ,                         ,07425          ,0000078.75,0000000000,000000000078.75,                         ,                         ,,20140421                      ,0000000000,'043                
20140423                      ,'                             ,'0020140424         ,                    ,                         ,07425          ,0000092.07,0000000000,000000000092.07,                         ,                         ,,20140423                      ,0000000000,'043                
20140424                      ,'                             ,'0020140425         ,                    ,                         ,07425          ,0000023.46,0000000000,000000000023.46,                         ,                         ,,20140424                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,07425          ,0000023.28,0000000000,000000000023.28,                         ,                         ,,20140425                      ,0000000000,'043                
20140420                      ,'                             ,'0020140421         ,                    ,                         ,07426          ,0000028.87,0000000000,000000000028.87,                         ,                         ,,20140420                      ,0000000000,'043                
20140421                      ,'                             ,'0020140422         ,                    ,                         ,07426          ,0000000012,0000000000,000000000000012,                         ,                         ,,20140421                      ,0000000000,'043                
20140422                      ,'                             ,'0020140423         ,                    ,                         ,07426          ,0000013.16,0000000000,000000000013.16,                         ,                         ,,20140422                      ,0000000000,'043                
20140423                      ,'                             ,'0020140424         ,                    ,                         ,07426          ,0000004.44,0000000000,000000000004.44,                         ,                         ,,20140423                      ,0000000000,'043                
20140424                      ,'                             ,'0020140425         ,                    ,                         ,07426          ,0000046.79,0000000000,000000000046.79,                         ,                         ,,20140424                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,07426          ,0000001.88,0000000000,000000000001.88,                         ,                         ,,20140425                      ,0000000000,'043                
20140426                      ,'                             ,'0020140427         ,                    ,                         ,07426          ,0000011.91,0000000000,000000000011.91,                         ,                         ,,20140426                      ,0000000000,'043                
20140420                      ,'                             ,'0020140421         ,                    ,                         ,07542          ,0000011.28,0000000000,000000000011.28,                         ,                         ,,20140420                      ,0000000000,'043                
20140421                      ,'                             ,'0020140422         ,                    ,                         ,07542          ,0000029.68,0000000000,000000000029.68,                         ,                         ,,20140421                      ,0000000000,'043                
20140422                      ,'                             ,'0020140423         ,                    ,                         ,07542          ,0000036.82,0000000000,000000000036.82,                         ,                         ,,20140422                      ,0000000000,'043                
20140423                      ,'                             ,'0020140424         ,                    ,                         ,07542          ,0000029.04,0000000000,000000000029.04,                         ,                         ,,20140423                      ,0000000000,'043                
20140424                      ,'                             ,'0020140425         ,                    ,                         ,07542          ,0000040.33,0000000000,000000000040.33,                         ,                         ,,20140424                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,07542          ,0000033.65,0000000000,000000000033.65,                         ,                         ,,20140425                      ,0000000000,'043                
20140426                      ,'                             ,'0020140427         ,                    ,                         ,07542          ,0000045.87,0000000000,000000000045.87,                         ,                         ,,20140426                      ,0000000000,'043                
20140420                      ,'                             ,'0020140421         ,                    ,                         ,07618          ,0000012.69,0000000000,000000000012.69,                         ,                         ,,20140420                      ,0000000000,'043                
20140421                      ,'                             ,'0020140422         ,                    ,                         ,07618          ,0000092.59,0000000000,000000000092.59,                         ,                         ,,20140421                      ,0000000000,'043                
20140422                      ,'                             ,'0020140423         ,                    ,                         ,07618          ,0000046.31,0000000000,000000000046.31,                         ,                         ,,20140422                      ,0000000000,'043                
